CORR_ANS,context,file_OTH,file_TGT,file_X,speaker_OTH,speaker_TGT,speaker_X,tripletid,vowel_OTH,vowel_TGT,vowel_X,word_OTH,word_TGT,word_X,distance_OTH,distance_TGT
A,Z_S,maureen_eng_49,veronique_fr_20,marc_fr_15,maureen,veronique,marc,triplet68,AE,U,U,ZAES,ZUS,ZUS,9.685455529508028,2.240276630392836
A,Z_S,veronique_fr_99,maureen_eng_49,ewan_eng_50,veronique,maureen,ewan,triplet69,I,AE,AE,ZIS,ZAES,ZAES,6.317870791237432,2.2655418925409982
B,F_P,veronique_eng_68,maureen_fr_90,remi_fr_86,veronique,maureen,remi,triplet70,AH,Y,Y,FAHP,FYP,FYP,7.411698402173231,3.4426453043694316
B,V_K,veronique_fr_46,maureen_eng_44,jeremy_eng_44,veronique,maureen,jeremy,triplet71,E,AE,AE,VEK,VAEK,VAEK,4.88144670682598,6.412033534155775
A,S_F,veronique_eng_24,maureen_fr_26,remi_fr_25,veronique,maureen,remi,triplet72,UH,U,U,SUHF,SUF,SUF,4.378015258433533,3.654549607620475
A,V_F,maureen_fr_179,veronique_eng_32,ewan_eng_35,maureen,veronique,ewan,triplet73,A,UH,UH,VAF,VUHF,VUHF,9.99160328048209,6.302550833655242
B,V_B,maureen_eng_46,veronique_fr_17,remi_fr_17,maureen,veronique,remi,triplet74,AE,U,U,VAEB,VUB,VUB,9.838505053237045,5.9396467406279845
B,SH_B,maureen_fr_43,veronique_eng_13,ewan_eng_13,maureen,veronique,ewan,triplet75,E,UH,UH,SHEB,SHUHB,SHUHB,5.542945399406635,3.333966414599071
A,SH_B,veronique_eng_38,maureen_fr_224,marc_fr_212,veronique,maureen,marc,triplet76,AE,A,A,SHAEB,SHAB,SHAB,6.699380413854805,6.219716823785182
A,Z_V,maureen_fr_106,veronique_eng_221,jeremy_eng_232,maureen,veronique,jeremy,triplet77,I,IH,IH,ZIV,ZIHV,ZIHV,7.380189964745419,4.518445628603759
B,SH_B,maureen_eng_223,veronique_fr_90,remi_fr_89,maureen,veronique,remi,triplet78,IH,Y,Y,SHIHB,SHYB,SHYB,5.442215480751775,5.9200691415199005
B,SH_V,veronique_fr_124,maureen_eng_32,ewan_eng_32,veronique,maureen,ewan,triplet79,Y,UH,UH,SHYV,SHUHV,SHUHV,2.74887469342686,1.6246944003440549
A,Z_D,maureen_eng_5,veronique_fr_40,marc_fr_35,maureen,veronique,marc,triplet80,UH,E,E,ZUHD,ZED,ZED,4.006929837093338,2.7781821031387497
A,V_B,maureen_fr_52,veronique_eng_216,ewan_eng_233,maureen,veronique,ewan,triplet81,E,IH,IH,VEB,VIHB,VIHB,6.43066632418266,2.654064769368176
B,Z_F,veronique_eng_104,maureen_fr_157,marc_fr_145,veronique,maureen,marc,triplet82,AH,O,O,ZAHF,ZOF,ZOF,5.276317880149216,4.459993406089161
B,V_B,veronique_fr_204,maureen_eng_77,jeremy_eng_75,veronique,maureen,jeremy,triplet83,O,AH,AH,VOB,VAHB,VAHB,6.033400859143487,5.193919936932813
A,V_B,maureen_eng_77,veronique_fr_194,remi_fr_192,maureen,veronique,remi,triplet84,AH,OE,OE,VAHB,VOEB,VOEB,6.60610520563969,4.944176123299427
A,V_SH,maureen_fr_36,veronique_eng_60,jeremy_eng_63,maureen,veronique,jeremy,triplet85,U,AE,AE,VUSH,VAESH,VAESH,8.689214607441942,4.439673540168422
B,V_P,maureen_eng_14,veronique_fr_44,marc_fr_40,maureen,veronique,marc,triplet86,UH,E,E,VUHP,VEP,VEP,7.597526862797911,2.586577851364979
B,V_Z,maureen_fr_129,veronique_eng_116,jeremy_eng_120,maureen,veronique,jeremy,triplet87,Y,AH,AH,VYZ,VAHZ,VAHZ,9.993613904856124,4.800072240132708
A,S_G,maureen_eng_6,veronique_fr_71,remi_fr_221,maureen,veronique,remi,triplet88,UH,I,I,SUHG,SIG,SIG,4.567197804266152,3.5458682871723446
A,V_K,veronique_fr_203,maureen_eng_15,jeremy_eng_15,veronique,maureen,jeremy,triplet89,O,UH,UH,VOK,VUHK,VUHK,4.63494366429854,7.043018561781203
B,V_F,veronique_eng_59,maureen_fr_68,marc_fr_60,veronique,maureen,marc,triplet90,AE,E,E,VAEF,VEF,VEF,7.157615596522872,5.2589347641641995
B,Z_V,maureen_fr_119,veronique_eng_49,ewan_eng_53,maureen,veronique,ewan,triplet91,Y,AE,AE,ZYV,ZAEV,ZAEV,8.156370957958348,2.888529962319761
A,Z_B,veronique_eng_64,maureen_fr_39,marc_fr_34,veronique,maureen,marc,triplet92,AH,E,E,ZAHB,ZEB,ZEB,6.327996323593787,6.071507019633747
A,V_SH,veronique_fr_128,maureen_eng_236,jeremy_eng_238,veronique,maureen,jeremy,triplet93,Y,IH,IH,VYSH,VIHSH,VIHSH,5.161957676887825,4.22851742477565
B,Z_D,maureen_eng_216,veronique_fr_69,marc_fr_66,maureen,veronique,marc,triplet94,IH,I,I,ZIHD,ZID,ZID,4.862380839415278,4.5246991617009655
B,Z_SH,veronique_fr_150,maureen_eng_231,ewan_eng_237,veronique,maureen,ewan,triplet95,O,IH,IH,ZOSH,ZIHSH,ZIHSH,6.412166360485289,3.593949436294824
A,V_SH,veronique_eng_101,maureen_fr_114,remi_fr_109,veronique,maureen,remi,triplet96,AH,I,I,VAHSH,VISH,VISH,6.118119973482593,4.92743046530447
A,V_P,maureen_fr_217,veronique_eng_40,jeremy_eng_43,maureen,veronique,jeremy,triplet97,O,AE,AE,VOP,VAEP,VAEP,7.262503094683679,3.0791075661903236
B,Z_S,veronique_eng_20,maureen_fr_116,marc_fr_107,veronique,maureen,marc,triplet98,UH,Y,Y,ZUHS,ZYS,ZYS,7.60712941981598,6.7239280504728445
B,Z_B,maureen_fr_73,veronique_eng_35,ewan_eng_38,maureen,veronique,ewan,triplet99,I,AE,AE,ZIB,ZAEB,ZAEB,9.037554570778687,2.9561436756400723
A,Z_G,maureen_eng_3,veronique_fr_207,marc_fr_207,maureen,veronique,marc,triplet100,UH,A,A,ZUHG,ZAG,ZAG,7.365601456520434,4.429489228631647
A,Z_V,veronique_fr_164,maureen_eng_100,ewan_eng_101,veronique,maureen,ewan,triplet101,A,AH,AH,ZAV,ZAHV,ZAHV,4.953731397166889,4.679587241978771
B,V_B,maureen_eng_227,veronique_fr_204,marc_fr_204,maureen,veronique,marc,triplet102,IH,O,O,VIHB,VOB,VOB,11.791749442950731,7.2130772610420415
B,Z_G,maureen_fr_219,veronique_eng_203,ewan_eng_220,maureen,veronique,ewan,triplet103,A,IH,IH,ZAG,ZIHG,ZIHG,8.881576404990211,3.0172196295130096
A,Z_V,veronique_eng_221,maureen_fr_23,marc_fr_18,veronique,maureen,marc,triplet104,IH,U,U,ZIHV,ZUV,ZUV,14.291011454276125,7.678655007822502
A,Z_D,maureen_fr_203,veronique_eng_205,jeremy_eng_216,maureen,veronique,jeremy,triplet105,O,IH,IH,ZOD,ZIHD,ZIHD,9.30741954562467,2.650320286288818
B,Z_SH,maureen_eng_22,veronique_fr_133,remi_fr_132,maureen,veronique,remi,triplet106,UH,OE,OE,ZUHSH,ZOESH,ZOESH,3.866956384733178,3.8911852686608315
B,V_SH,maureen_fr_166,veronique_eng_33,ewan_eng_36,maureen,veronique,ewan,triplet107,O,UH,UH,VOSH,VUHSH,VUHSH,6.454736509899709,6.570024722285952
A,V_G,maureen_eng_45,veronique_fr_95,remi_fr_94,maureen,veronique,remi,triplet108,AE,Y,Y,VAEG,VYG,VYG,10.170089226964807,4.300491585860392
A,Z_SH,maureen_fr_170,veronique_eng_48,ewan_eng_52,maureen,veronique,ewan,triplet109,A,AE,AE,ZASH,ZAESH,ZAESH,2.5970460403775895,1.9534203648847783
B,SH_S,maureen_eng_31,veronique_fr_107,remi_fr_106,maureen,veronique,remi,triplet110,UH,I,I,SHUHS,SHIS,SHIS,4.87586847467205,1.3905991091650367
B,Z_S,maureen_fr_55,veronique_eng_218,ewan_eng_235,maureen,veronique,ewan,triplet111,E,IH,IH,ZES,ZIHS,ZIHS,5.015692169193459,2.493209153244435
A,V_F,maureen_eng_121,veronique_fr_159,remi_fr_158,maureen,veronique,remi,triplet112,AH,O,O,VAHF,VOF,VOF,4.188794026024904,4.2342740578280695
