<unk> SPN
I AY
LIKE L AY K
VAHV V AH V
ZAHZ Z AH Z
ZAHS Z AH S
ZAHF Z AH F
ZAHSH Z AH SH
ZAHV Z AH V
SAHZ S AH Z
SAHF S AH F
SAHSH S AH SH
SAHV S AH V
FAHF F AH F
FAHSH F AH SH
SHAHZ SH AH Z
SHAHS SH AH S
SHAHF SH AH F
SHAHV SH AH V
VAHZ V AH Z
VAHS V AH S
VAHSH V AH SH
ZAHZ Z AH Z
ZAHS Z AH S
ZAHF Z AH F
ZAHSH Z AH SH
ZAHV Z AH V
SAHZ S AH Z
SAHSH S AH SH
SAHV S AH V
FAHF F AH F
FAHSH F AH SH
VAHZ V AH Z
VAHS V AH S
VAHF V AH F
VAHSH V AH SH
VAHV V AH V
ZAHS Z AH S
ZAHF Z AH F
ZAHSH Z AH SH
ZAHV Z AH V
SAHZ S AH Z
SAHF S AH F
FAHF F AH F
SHAHZ SH AH Z
SHAHF SH AH F
SHAHV SH AH V
VAHS V AH S
VAHF V AH F
VAHV V AH V
ZAHP Z AH P
ZAHT Z AH T
ZAHK Z AH K
ZAHG Z AH G
ZAHD Z AH D
SAHT S AH T
SAHG S AH G
FAHP F AH P
FAHT F AH T
FAHG F AH G
FAHB F AH B
SHAHP SH AH P
SHAHT SH AH T
SHAHK SH AH K
SHAHB SH AH B
SHAHD SH AH D
VAHP V AH P
VAHT V AH T
VAHK V AH K
VAHG V AH G
VAHB V AH B
VAHD V AH D
ZAHP Z AH P
ZAHT Z AH T
ZAHK Z AH K
ZAHG Z AH G
ZAHD Z AH D
SAHG S AH G
FAHP F AH P
FAHT F AH T
FAHB F AH B
SHAHB SH AH B
VAHP V AH P
VAHK V AH K
VAHB V AH B
VAHD V AH D
ZAHT Z AH T
ZAHG Z AH G
ZAHB Z AH B
SAHT S AH T
SAHG S AH G
SHAHP SH AH P
SHAHB SH AH B
SHAHD SH AH D
VAHT V AH T
VAHB V AH B
VAHD V AH D
ZIHG Z IH G
ZIHB Z IH B
ZIHD Z IH D
SIHG S IH G
SIHB S IH B
FIHP F IH P
FIHK F IH K
FIHD F IH D
SHIHG SH IH G
SHIHB SH IH B
SHIHD SH IH D
VIHK V IH K
VIHG V IH G
VIHB V IH B
ZIHZ Z IH Z
ZIHS Z IH S
ZIHF Z IH F
ZIHSH Z IH SH
ZIHV Z IH V
SIHZ S IH Z
SIHSH S IH SH
FIHV F IH V
SHIHZ SH IH Z
SHIHS SH IH S
VIHSH V IH SH
ZUP Z UW P
ZUT Z UW T
ZUG Z UW G
ZUB Z UW B
ZUD Z UW D
SUG S UW G
SUB S UW B
FUP F UW P
FUB F UW B
FUD F UW D
SHUP SH UW P
SHUG SH UW G
SHUB SH UW B
VUP V UW P
VUK V UW K
VUG V UW G
VUB V UW B
VUD V UW D
ZUZ Z UW Z
ZUS Z UW S
ZUF Z UW F
ZUSH Z UW SH
ZUV Z UW V
SUZ S UW Z
SUS S UW S
SUF S UW F
SUV S UW V
FUZ F UW Z
FUSH F UW SH
FUS F UW S
FIG F IY G
VIHF V IH F
FAHV F AH V
FUV F UW V
SHUS SH UW S
SHUV SH UW V
VUZ V UW Z
VUS V UW S
VUF V UW F
VUSH V UW SH
VUV V UW V
ZET Z EH T
ZEB Z EH B
ZED Z EH D
SED S EH D
SHEP SH EH P
SHEB SH EH B
SHED SH EH D
VEP V EH P
VET V EH T
VEK V EH K
VEG V EH G
VEB V EH B
VED V EH D
ZEZ Z EH Z
ZES Z EH S
ZEF Z EH F
ZESH Z EH SH
ZEV Z EH V
SEF S EH F
FEZ F EH Z
FEF F EH F
FESH F EH SH
SHES SH EH S
SHESH SH EH SH
SHEV SH EH V
VEZ V EH Z
VES V EH S
VEF V EH F
VESH V EH SH
VEV V EH V
ZIT Z IY T
ZIG Z IY G
ZIB Z IY B
ZID Z IY D
SIT S IY T
SIG S IY G
FIP F IY P
FIB F IY B
SHIB SH IY B
SHID SH IY D
VIK V IY K
VIG V IY G
VIB V IY B
ZYP Z UW Y P
ZYK Z UW Y K
ZYG Z UW Y G
ZYB Z UW Y B
ZYD Z UW Y D
SYT S UW Y T
SYG S UW Y G
FYP F UW Y P
FYB F UW Y B
SHYP SH UW Y P
SHYK SH UW Y K
SHYB SH UW Y B
SHYD SH UW Y D
VYP V UW Y P
VYT V UW Y T
VYK V UW Y K
VYG V UW Y G
VYB V UW Y B
VYD V UW Y D
ZIZ Z IY Z
ZIS Z IY S
ZIF Z IY F
ZISH Z IY SH
ZIV Z IY V
SIZ S IY Z
SISH S IY SH
SIV S IY V
SHIZ SH IY Z
SHIS SH IY S
SHIF SH IY F
SHIV SH IY V
VISH V IY SH
ZYZ Z UW Y Z
ZYS Z UW Y S
ZYF Z UW Y F
ZYSH Z UW Y SH
ZYV Z UW Y V
SYF S UW Y F
SYSH S UW Y SH
SYV S UW Y V
FYF F UW Y F
FYSH F UW Y SH
SHYZ SH UW Y Z
SHYS SH UW Y S
SHYF SH UW Y F
SHYV SH UW Y V
VYZ V UW Y Z
VYS V UW Y S
VYF V UW Y F
VYSH V UW Y SH
VYV V UW Y V
ZOEZ Z OW Z
ZOES Z OW S
ZOEF Z OW F
ZOESH Z OW SH
ZOEV Z OW V
SOEZ S OW Z
SOEF S OW F
SOESH S OW SH
SOEV S OW V
FOEF F OW F
FOESH F OW SH
SHOEZ SH OW Z
SHOES SH OW S
SHOEF SH OW F
SHOEV SH OW V
VOEZ V OW Z
VOES V OW S
VOESH V OW SH
ZOZ Z AO Z
ZOS Z AO S
ZOF Z AO F
ZOSH Z AO SH
ZOV Z AO V
SOZ S AO Z
SOSH S AO SH
SOV S AO V
FOF F AO F
FOSH F AO SH
VOZ V AO Z
VOS V AO S
VOF V AO F
VOSH V AO SH
VOV V AO V
ZAS Z AA S
ZAF Z AA F
ZASH Z AA SH
ZAV Z AA V
SAZ S AA Z
SAF S AA F
FAF F AA F
SHAZ SH AA Z
SHAF SH AA F
SHAV SH AA V
VAS V AA S
VAF V AA F
VAV V AA V
ZOEP Z OW P
ZOET Z OW T
ZOEK Z OW K
ZOEG Z OW G
ZOED Z OW D
SOET S OW T
SOEG S OW G
FOEP F OW P
FOET F OW T
FOEG F OW G
FOEB F OW B
SHOEP SH OW P
SHOET SH OW T
SHOEK SH OW K
SHOEB SH OW B
SHOED SH OW D
VOEP V OW P
VOET V OW T
VOEK V OW K
VOEG V OW G
VOEB V OW B
VOED V OW D
ZOP Z AO P
ZOT Z AO T
ZOK Z AO K
ZOG Z AO G
ZOD Z AO D
SOG S AO G
FOP F AO P
FOT F AO T
FOB F AO B
SHOB SH AO B
VOP V AO P
VOK V AO K
VOB V AO B
VOD V AO D
ZAT Z AA T
ZAG Z AA G
ZAB Z AA B
SAT S AA T
SAG S AA G
SHAP SH AA P
SHAB SH AA B
SHAD SH AA D
VAT V AA T
VAB V AA B
VAD V AA D
ZIG Z IY G
ZIB Z IY B
ZID Z IY D
SIG S IY G
SIB S IY B
FIP F IY P
FIK F IY K
FID F IY D
SHIG SH IY G
SHIB SH IY B
SHID SH IY D
VIK V IY K
VIG V IY G
VIB V IY B
ZIZ Z IY Z
ZIS Z IY S
ZIF Z IY F
ZISH Z IY SH
ZIV Z IY V
SIZ S IY Z
SISH S IY SH
FIV F IY V
SHIZ SH IY Z
SHIS SH IY S
VISH V IY SH
MARC M AA R K
