subject_id,subject_language,survey_time,comments,experiment_topic
X_UPSJLYCMOG,fr2,2:59.0,très simple à utiliser chargement rapide,améliorer la compréhension d'un assistant vocal avec les spécificités d'accent
X_UDFQBERGYN,fr2,4:54.3,Intéressante expérience avec l'utilisation du clavier. -  - Aucun problème technique. ,Aucune idée j'arrive à reconnaitre quelques sons qui me paraissent de langues germaniques...  -  - 
X_OQDBPGSKFT,fr2,2:27.6,Je suis très satisfait de l'experience je n'ai eu aucun problème techniques avec le site.,Je pense que l'objectif est de savoir si il y a une correlation entre la connaissance d'un language et le niveau en phonétique et écoute
X_JNKAZUCGYW,fr2,0:6.8,,
X_NKWCLOGHTM,fr2,1:53.7,J'ai bien aimé et apprécié la difficulté parfois à déterminer ce qui était le plus ressemblant.,Peut-être vérifier sur quoi je me base quand j'identifie un son. 
X_BSQPAVLRWG,fr2,0:58.7,Une disctintion moins forte entre les personnes,Je pense que c'est pour des logiciels de reconnaissant vocale
X_DYTAECVWRJ,fr2,0:29.2,Pas de problèmes experience tres fluide.,
X_PHQTKFLVSG,fr2,2:50.8,Aucun problème technique à signaler. Il aurait été préférable d'avoir la possibilité d'écouter à nouveau les enregistrements à certain moment.,Si les personnes qui sont des locuteurs d'une ou de plusieurs langues arrivent à distinguer les sons.
X_FIXNAVYUDM,fr2,2:23.0,ouij`aime bien cette experience ...je voudrais beaucoupe de travaille ,c`est tres bien
X_LXHWVSOYAI,fr2,0:47.3,Non aucune remarque,Peut être avoir un échantillon de voix afin d'aider un robot intelligent à comprendre un ordre mais avec des accents différents.
X_LFTRYAUGVB,fr2,0:10.4,non,non
X_VUMRJHQCPZ,fr2,2:1.7,Les pauses sont les bienvenues.,Vous cherchez peut être à observer la manière dont le cerveau associe un son parlé à une syllabe écrite en fonction de la langue maternelle ?
X_WGDNORQFAX,fr2,0:7.5,,
X_MYELBFTGPW,fr,0:1.7,,
X_WQKPJEBHZS,fr,1:6.4,Quelques audios semblaient tous très similaires et il était difficile de les départager,
X_THMBORALCV,fr,3:52.8,Aucun problème le site était rapide et efficace. ,Vous faites peut-être une recherche sur la capacité de différencier certains sons pour les francais
X_VMLHQJPNOB,fr,0:6.1,.,.
X_CKTHZROWXE,fr,1:19.1,Expérience intéressante sons clairs aucun souci technique,La perception des syllabes/langues étrangères en fonction de l'expérience avec une autre langue que celle maternelle
X_HRTYWONGAJ,fr,1:13.2,Aucun problème rencontré lors de cette expérience. - Basé sur la phonétique et la prononciation.,Très utile pour les assistants vocal !
X_VKBNSAQJXD,fr,1:18.3,Je n'ai aucune remarque à formuler pas le moindre souci technique.,Peut-être déterminer la concentration lorsqu'un choix doit s'opérer très rapidement. 
X_OXVYFUSCHK,fr,0:38.1,temps de concentration trop long pas de problème technique,non
X_EUYHWQPJLS,fr,0:55.2,Pas de problemes experience interessante,un nouveau logiciel de speech to text qui detecte n'importe quel accent
X_USZBLRTMAX,fr,3:15.2,Interessant des fois un peu difficile à entendre la difference. Jaimerais avoir la chance de reecouter les clips si necessaire. Deux fois je me suis trompe en appuyant sur le mauvais bouton. Il n y a pas un moyenne de corriger les erreurs.,Les tradutions sur google? Les differents sons dans les langues etrangeres 
X_SVUMHQNCPZ,fr,1:18.1,Expérience sympatique aucun problème technique.,Trouver de nouveaux moyens d'enseignement de langues étrangères ?
X_MVBTZHSCWQ,fr,1:20.0,C'était assez différent et intéressant. ,Chacun perçoit les langues étrangères différemment cette étude est peut être pour essayer de démontrer quelque chose par rapport a l'entente et la compréhension de chacun 
X_DBOTKHAVMZ,fr,0:9.5,,
X_NXHLSMGEWA,fr,1:51.4,Très bonne expérience par contre par deux fois mon doigt crispé à cliqué le mauvais choix. Désolée.,Pour adapter les assistants vocaux aux différents accents du même langue.
X_CBAPIQOTWD,fr,1:18.0,Expérience intéressante qui fait travailler l'écoute. - Cependant chargement de la page assez lent. ,Repéré les similarités/différences de son entre différentes langues.
X_VPCELTFWUX,fr,0:56.7,Aucun problème à signaler,Aucune idée précisément mais peut-être quelque chose sur la perception des différents accents
X_XANOPYMUDI,fr,2:41.9,Je n'ai eu aucun problèmes avec le site internet. Toutes les instructions étaient claires et l'utilisation était simple.,Je pense que votre recherche consiste à mesurer la vitesse d'action des utilisateurs avec votre site web et ses outils. Le grand nombres de tests audio met à l'épreuve l'utilisateur qui répète la même action et va probablement de plus en plus vite.
X_WNSMJKLZIB,fr,0:56.7,RAS,Analyse d'échantillon pour entraîner un modèle de machine learning
X_EMQXTCOVIU,fr,1:29.4,Certains mots ne ressemblaient ni au son 1 ni au son 2 j'ai donc du me rabattre sur comment était prononcé le mot uniquement (si l'accent ressemblait à celui du son de base par exemple).,Aucune.
X_AFKNOWEDBR,fr,1:44.5,Aucuns problèmes tout s'est passé pour le mieux.,Je pense que la recherche a un rapport avec des applications a détection vocale
X_PKFUNXOWAT,fr,0:3.3,,
X_DVOHUJWGCF,fr,2:50.6,Plutôt amusant au bout du compte,La manière dont on identifie certains phonèmes selon la langue maternelle du locuteur et de l'auditeur. -  - Sur certains phonèmes clairement il y avait des locuteurs francophones anglophones et qui me paraissaient germanophones. -  - Après le but final ça mystère j'ai des idées sur la manière dont le test a été conçu à quoi ça servira je l'ignore
X_WUDALSMEOX,fr,1:6.5,Il et bon. Pas de probleme sur le site web. pas de commentaires.,No
X_JLZNHKVMPY,fr,0:4.3,,
X_MORGPWHJXZ,fr,1:41.8,cest une expérience intéressante je n'ai pas eu de problèmes techniques. pas de remarques,évaluer la perception des sons parmi différentes personnes
X_XWKLRVNIFZ,fr,1:29.2,Aucun problème technique avoir la possibilité de faire un retour serai utile.,créer des IA pouvant comprendre une langues étrangère afin d'en faire des sous-titres.
X_DOQECKBAFY,fr,3:42.0,J'ai trouvé ça intéressant et simple d'utilisation même sans connaitre la nature de la recherche. J'aurais aimé pouvoir réécouté certains sons.,Je pense que votre recherche est sur la perception des sons en fonction de l'âge et du côté dominant (gaucher/droitier).
X_UYEXDJTHKB,fr,1:53.8,c'etait interresant de voir les differentes intonations aucun probleme technique pas de remarque particuliaire,approfondir la reconnaissance vocale notamment sur l'intonnation
X_JZMYXRLAIV,fr,2:2.6,Présentation sommaire compensée par une rapidité d'affichage et une facilité de lecture appréciable.,Enseignement de langue en ligne ici Allemand/Français
X_DHVJPANYEF,fr,2:42.9,Tout s'est bien passé. La navigation au clavier est agréable.,Je pense que ce pourrait être une recherche sur la manière de percevoir différents phonèmes en fonction de la langue maternelle.
X_UCEPVALKHR,fr,8:54.4,"Dans certains cas les deux sons étaient très différents du premier (on entend quelque chose comme ""zaf"" puis ""zif"" et ""zif"") et il était difficile de savoir quoi choisir. -  - De plus il aurait été utile de pouvoir relire les sons. Ils ne sont lus qu'une fois et cela peut induire un biais. Par exemple j'ai souvent entendu le son de base puis le premier son auquel le comparer en me disant ""oui il y ressemble beaucoup"" puis entendu le deuxième en me disant ""il y ressemble encore plus"". J'ai l'impression d'avoir donc plus souvent répondu que le deuxième son était plus similaire alors qu'il est possible que ces réponses aient été biaisées. Pour certains examples j'aurais donc aimé pouvoir rejouer les sons.",J'ai cru entendre des accents anglais et allemands entre autres. Je pense que votre recherche cherche à établir une sorte de tableau de proximité entre les différentes voyelles existant en Europe (dans le monde?). Peut-être aussi pour les consonnes.
X_HDOSBQVEYU,fr,0:57.7,Pas de problèmes techniques.,Il s'agit peut-être d'une amélioration de synthèse vocale.
X_ARQPUJXNZG,fr,0:1.9,,
X_YBNMPIHUOK,fr,0:27.2,pas de problemes,franchement aucune idee
X_DHWJERYCPX,fr,0:50.9,aucun problême tout ok.,Je pense que c'est pour identifier les sons étrangers et voir si on les reconnait facilement.
X_EDCVOQXTJH,fr,0:20.1,pas de pb techniques,pas d'idée
X_KMDQCFATJZ,fr,0:59.1,c'est une bonne expérience intéressante je n'ia pas eu de probleme avec le site web,comprendre quelles sont les sons d'une langue étrangère que l'on capte en premier
X_XVOLYUGRPH,fr,1:11.2,Aucun problemes techniques. Aucune remarques.,Reconnaissance vocale pour IA.
