spk01_triplet003_02 SHEYZ 
spk06_triplet098_03 VEEF 
spk06_triplet100_03 ZAYG 
spk06_triplet102_03 VOWD 
spk06_triplet104_03 VOWD 
spk07_triplet001_03 ZOWV 
spk07_triplet003_03 SHIS 
spk07_triplet007_03 SAF 
spk07_triplet009_03 VUWB 
spk07_triplet011_03 ZISH 
spk07_triplet013_03 SHOWB 
spk07_triplet017_03 ZAASH 
spk07_triplet019_03 ZOWD 
spk07_triplet021_03 SHAS 
spk07_triplet023_03 ZAAD 
spk07_triplet025_03 ZIB 
spk07_triplet031_03 ZAAV 
spk07_triplet035_03 FID 
spk07_triplet043_03 VIG 
spk07_triplet045_03 VOWD 
spk07_triplet047_03 SAAG 
spk07_triplet055_03 VAAD 
spk07_triplet059_03 VAB 
spk07_triplet061_03 SHOUV 
spk07_triplet063_03 ZOWV 
spk07_triplet065_03 ZAK 
spk07_triplet071_03 VAK 
spk07_triplet077_03 ZIV 
spk07_triplet083_03 VOG 
spk07_triplet085_03 VASH 
spk07_triplet087_03 VOZ 
spk07_triplet089_03 VOWG 
spk07_triplet093_03 VISH 
spk07_triplet097_03 VAD 
spk07_triplet105_03 ZID 
spk08_triplet005_03 SEEG 
spk08_triplet015_03 ZAYD 
spk08_triplet027_03 VAAG 
spk08_triplet029_03 FAAB 
spk08_triplet033_03 VEYD 
spk08_triplet037_03 VOWG 
spk08_triplet039_03 VOWG 
spk08_triplet041_03 VAV 
spk08_triplet049_03 VUS 
spk08_triplet051_03 VAF 
spk08_triplet053_03 ZOOD 
spk08_triplet057_03 ZAYD 
spk08_triplet067_03 VOWG 
spk08_triplet069_03 VAF 
spk08_triplet073_03 FOWF 
spk08_triplet075_03 SHOOD 
spk08_triplet079_03 SHOWZ 
spk08_triplet081_03 VIB 
spk08_triplet091_03 ZOUD 
spk08_triplet095_03 ZISH 
spk08_triplet099_03 ZOUB 
spk08_triplet101_03 ZOWD 
spk08_triplet103_03 VIG 
spk08_triplet107_03 VOWSH 
spk08_triplet109_03 VASH 
spk08_triplet111_03 ZIS 
