spk01_triplet003_02 SHEYS 
spk07_triplet031_03 ZOUB 
spk07_triplet035_03 FIB 
spk07_triplet043_03 VEYD 
spk07_triplet045_03 VOWD 
spk07_triplet047_03 SAAG 
spk07_triplet055_03 VAAD 
spk07_triplet059_03 VAB 
spk07_triplet061_03 SHOUV 
spk07_triplet063_03 ZOOV 
spk07_triplet065_03 ZAK 
spk07_triplet071_03 VAK 
spk07_triplet077_03 ZIB 
spk07_triplet083_03 VAAB 
spk07_triplet085_03 VASH 
spk07_triplet087_03 VAAZ 
spk07_triplet089_03 VOWG 
spk07_triplet093_03 VISH 
spk07_triplet097_03 VAP 
spk07_triplet105_03 ZID 
spk08_triplet005_03 SIG 
spk08_triplet015_03 ZAD 
spk08_triplet027_03 VUB 
spk08_triplet029_03 FAAB 
spk08_triplet033_03 VEYG 
spk08_triplet037_03 VOWB 
spk08_triplet039_03 VOWB 
spk08_triplet041_03 VAV 
spk08_triplet049_03 ZUS 
spk08_triplet051_03 VAF 
spk08_triplet053_03 ZOOD 
spk08_triplet057_03 ZUD 
spk08_triplet067_03 VOWB 
spk08_triplet069_03 ZAS 
spk08_triplet073_03 FOWF 
spk08_triplet075_03 SHOOD 
spk08_triplet079_03 SHOOV 
spk08_triplet081_03 VIB 
spk08_triplet091_03 ZOUP 
spk08_triplet095_03 ZISH 
spk08_triplet099_03 SAB 
spk08_triplet101_03 ZOWZ 
spk08_triplet103_03 ZIG 
spk08_triplet107_03 FOWSH 
spk08_triplet109_03 ZASH 
spk08_triplet111_03 ZIS 
