CORR_ANS,context,file_OTH,file_TGT,file_X,speaker_OTH,speaker_TGT,speaker_X,tripletid,vowel_OTH,vowel_TGT,vowel_X,vowel_eng,vowel_fr,word_OTH,word_TGT,word_X
A,SH_S,maureen_eng_117,veronique_fr_31,remi_fr_30,maureen,veronique,remi,triplet52,AH,U,U,AH,U,SHAHS,SHUS,SHUS
A,Z_G,maureen_fr_183,veronique_eng_3,ewan_eng_3,maureen,veronique,ewan,triplet53,OE,UH,UH,UH,OE,ZOEG,ZUHG,ZUHG
B,Z_V,veronique_eng_49,maureen_fr_106,marc_fr_97,veronique,maureen,marc,triplet54,AE,I,I,AE,I,ZAEV,ZIV,ZIV
B,V_K,maureen_fr_15,veronique_eng_72,jeremy_eng_74,maureen,veronique,jeremy,triplet55,U,AH,AH,AH,U,VUK,VAHK,VAHK
A,F_P,veronique_eng_8,maureen_fr_205,marc_fr_199,veronique,maureen,marc,triplet56,UH,O,O,UH,O,FUHP,FOP,FOP
A,Z_D,veronique_fr_83,maureen_eng_68,ewan_eng_69,veronique,maureen,ewan,triplet57,Y,AH,AH,AH,Y,ZYD,ZAHD,ZAHD
B,V_G,maureen_eng_76,veronique_fr_16,marc_fr_11,maureen,veronique,marc,triplet58,AH,U,U,AH,U,VAHG,VUG,VUG
B,V_B,maureen_fr_198,veronique_eng_43,jeremy_eng_46,maureen,veronique,jeremy,triplet59,OE,AE,AE,AE,OE,VOEB,VAEB,VAEB
A,V_P,veronique_eng_86,maureen_fr_96,remi_fr_91,veronique,maureen,remi,triplet60,AH,Y,Y,AH,Y,VAHP,VYP,VYP
A,SH_V,maureen_fr_65,veronique_eng_115,jeremy_eng_119,maureen,veronique,jeremy,triplet61,E,AH,AH,AH,E,SHEV,SHAHV,SHAHV
B,V_Z,maureen_eng_54,veronique_fr_157,remi_fr_156,maureen,veronique,remi,triplet62,AE,O,O,AE,O,VAEZ,VOZ,VOZ
B,Z_F,veronique_fr_132,maureen_eng_21,jeremy_eng_21,veronique,maureen,jeremy,triplet63,OE,UH,UH,UH,OE,ZOEF,ZUHF,ZUHF
A,V_B,maureen_eng_227,veronique_fr_215,marc_fr_215,maureen,veronique,marc,triplet64,IH,A,A,IH,A,VIHB,VAB,VAB
A,Z_F,veronique_fr_52,maureen_eng_50,jeremy_eng_50,veronique,maureen,jeremy,triplet65,E,AE,AE,AE,E,ZEF,ZAEF,ZAEF
B,S_G,veronique_eng_6,maureen_fr_204,marc_fr_198,veronique,maureen,marc,triplet66,UH,O,O,UH,O,SUHG,SOG,SOG
B,V_B,maureen_fr_82,veronique_eng_17,ewan_eng_17,maureen,veronique,ewan,triplet67,I,UH,UH,UH,I,VIB,VUHB,VUHB
A,Z_S,maureen_eng_49,veronique_fr_20,marc_fr_15,maureen,veronique,marc,triplet68,AE,U,U,AE,U,ZAES,ZUS,ZUS
A,Z_S,veronique_fr_99,maureen_eng_49,ewan_eng_50,veronique,maureen,ewan,triplet69,I,AE,AE,AE,I,ZIS,ZAES,ZAES
B,F_P,veronique_eng_68,maureen_fr_90,remi_fr_86,veronique,maureen,remi,triplet70,AH,Y,Y,AH,Y,FAHP,FYP,FYP
B,V_K,veronique_fr_46,maureen_eng_44,jeremy_eng_44,veronique,maureen,jeremy,triplet71,E,AE,AE,AE,E,VEK,VAEK,VAEK
A,S_F,veronique_eng_24,maureen_fr_26,remi_fr_25,veronique,maureen,remi,triplet72,UH,U,U,UH,U,SUHF,SUF,SUF
A,V_F,maureen_fr_179,veronique_eng_32,ewan_eng_35,maureen,veronique,ewan,triplet73,A,UH,UH,UH,A,VAF,VUHF,VUHF
B,V_B,maureen_eng_46,veronique_fr_17,remi_fr_17,maureen,veronique,remi,triplet74,AE,U,U,AE,U,VAEB,VUB,VUB
B,SH_B,maureen_fr_43,veronique_eng_13,ewan_eng_13,maureen,veronique,ewan,triplet75,E,UH,UH,UH,E,SHEB,SHUHB,SHUHB
A,SH_B,veronique_eng_38,maureen_fr_224,marc_fr_212,veronique,maureen,marc,triplet76,AE,A,A,AE,A,SHAEB,SHAB,SHAB
A,Z_V,maureen_fr_106,veronique_eng_221,jeremy_eng_232,maureen,veronique,jeremy,triplet77,I,IH,IH,IH,I,ZIV,ZIHV,ZIHV
B,SH_B,maureen_eng_223,veronique_fr_90,remi_fr_89,maureen,veronique,remi,triplet78,IH,Y,Y,IH,Y,SHIHB,SHYB,SHYB
B,SH_V,veronique_fr_124,maureen_eng_32,ewan_eng_32,veronique,maureen,ewan,triplet79,Y,UH,UH,UH,Y,SHYV,SHUHV,SHUHV
A,Z_D,maureen_eng_5,veronique_fr_40,marc_fr_35,maureen,veronique,marc,triplet80,UH,E,E,UH,E,ZUHD,ZED,ZED
A,V_B,maureen_fr_52,veronique_eng_216,ewan_eng_233,maureen,veronique,ewan,triplet81,E,IH,IH,IH,E,VEB,VIHB,VIHB
B,Z_F,veronique_eng_104,maureen_fr_157,marc_fr_145,veronique,maureen,marc,triplet82,AH,O,O,AH,O,ZAHF,ZOF,ZOF
B,V_B,veronique_fr_204,maureen_eng_77,jeremy_eng_75,veronique,maureen,jeremy,triplet83,O,AH,AH,AH,O,VOB,VAHB,VAHB
A,V_B,maureen_eng_77,veronique_fr_194,remi_fr_192,maureen,veronique,remi,triplet84,AH,OE,OE,AH,OE,VAHB,VOEB,VOEB
A,V_SH,maureen_fr_36,veronique_eng_60,jeremy_eng_63,maureen,veronique,jeremy,triplet85,U,AE,AE,AE,U,VUSH,VAESH,VAESH
B,V_P,maureen_eng_14,veronique_fr_44,marc_fr_40,maureen,veronique,marc,triplet86,UH,E,E,UH,E,VUHP,VEP,VEP
B,V_Z,maureen_fr_129,veronique_eng_116,jeremy_eng_120,maureen,veronique,jeremy,triplet87,Y,AH,AH,AH,Y,VYZ,VAHZ,VAHZ
A,S_G,maureen_eng_6,veronique_fr_71,remi_fr_221,maureen,veronique,remi,triplet88,UH,I,I,UH,I,SUHG,SIG,SIG
A,V_K,veronique_fr_203,maureen_eng_15,jeremy_eng_15,veronique,maureen,jeremy,triplet89,O,UH,UH,UH,O,VOK,VUHK,VUHK
B,V_F,veronique_eng_59,maureen_fr_68,marc_fr_60,veronique,maureen,marc,triplet90,AE,E,E,AE,E,VAEF,VEF,VEF
B,Z_V,maureen_fr_119,veronique_eng_49,ewan_eng_53,maureen,veronique,ewan,triplet91,Y,AE,AE,AE,Y,ZYV,ZAEV,ZAEV
A,Z_B,veronique_eng_64,maureen_fr_39,marc_fr_34,veronique,maureen,marc,triplet92,AH,E,E,AH,E,ZAHB,ZEB,ZEB
A,V_SH,veronique_fr_128,maureen_eng_236,jeremy_eng_238,veronique,maureen,jeremy,triplet93,Y,IH,IH,IH,Y,VYSH,VIHSH,VIHSH
B,Z_D,maureen_eng_216,veronique_fr_69,marc_fr_66,maureen,veronique,marc,triplet94,IH,I,I,IH,I,ZIHD,ZID,ZID
B,Z_SH,veronique_fr_150,maureen_eng_231,ewan_eng_237,veronique,maureen,ewan,triplet95,O,IH,IH,IH,O,ZOSH,ZIHSH,ZIHSH
A,V_SH,veronique_eng_101,maureen_fr_114,remi_fr_109,veronique,maureen,remi,triplet96,AH,I,I,AH,I,VAHSH,VISH,VISH
A,V_P,maureen_fr_217,veronique_eng_40,jeremy_eng_43,maureen,veronique,jeremy,triplet97,O,AE,AE,AE,O,VOP,VAEP,VAEP
B,Z_S,veronique_eng_20,maureen_fr_116,marc_fr_107,veronique,maureen,marc,triplet98,UH,Y,Y,UH,Y,ZUHS,ZYS,ZYS
B,Z_B,maureen_fr_73,veronique_eng_35,ewan_eng_38,maureen,veronique,ewan,triplet99,I,AE,AE,AE,I,ZIB,ZAEB,ZAEB
A,Z_G,maureen_eng_3,veronique_fr_207,marc_fr_207,maureen,veronique,marc,triplet100,UH,A,A,UH,A,ZUHG,ZAG,ZAG
A,Z_V,veronique_fr_164,maureen_eng_100,ewan_eng_101,veronique,maureen,ewan,triplet101,A,AH,AH,AH,A,ZAV,ZAHV,ZAHV
B,V_B,maureen_eng_227,veronique_fr_204,marc_fr_204,maureen,veronique,marc,triplet102,IH,O,O,IH,O,VIHB,VOB,VOB
B,Z_G,maureen_fr_219,veronique_eng_203,ewan_eng_220,maureen,veronique,ewan,triplet103,A,IH,IH,IH,A,ZAG,ZIHG,ZIHG
A,Z_V,veronique_eng_221,maureen_fr_23,marc_fr_18,veronique,maureen,marc,triplet104,IH,U,U,IH,U,ZIHV,ZUV,ZUV
A,Z_D,maureen_fr_203,veronique_eng_205,jeremy_eng_216,maureen,veronique,jeremy,triplet105,O,IH,IH,IH,O,ZOD,ZIHD,ZIHD
B,Z_SH,maureen_eng_22,veronique_fr_133,remi_fr_132,maureen,veronique,remi,triplet106,UH,OE,OE,UH,OE,ZUHSH,ZOESH,ZOESH
B,V_SH,maureen_fr_166,veronique_eng_33,ewan_eng_36,maureen,veronique,ewan,triplet107,O,UH,UH,UH,O,VOSH,VUHSH,VUHSH
A,V_G,maureen_eng_45,veronique_fr_95,remi_fr_94,maureen,veronique,remi,triplet108,AE,Y,Y,AE,Y,VAEG,VYG,VYG
A,Z_SH,maureen_fr_170,veronique_eng_48,ewan_eng_52,maureen,veronique,ewan,triplet109,A,AE,AE,AE,A,ZASH,ZAESH,ZAESH
B,SH_S,maureen_eng_31,veronique_fr_107,remi_fr_106,maureen,veronique,remi,triplet110,UH,I,I,UH,I,SHUHS,SHIS,SHIS
B,Z_S,maureen_fr_55,veronique_eng_218,ewan_eng_235,maureen,veronique,ewan,triplet111,E,IH,IH,IH,E,ZES,ZIHS,ZIHS
A,V_F,maureen_eng_121,veronique_fr_159,remi_fr_158,maureen,veronique,remi,triplet112,AH,O,O,AH,O,VAHF,VOF,VOF
