triplet,word,start,end,order
triplet57,ZAHD,1.86825,2.21746,X
triplet102,VIHB,0.01247,0.34172,A
triplet102,VOB,0.81066,1.22971,B
triplet102,VOB,1.74853,2.01791,X
triplet103,ZAG,0.01247,0.3517,A
triplet103,ZIHG,0.90045,1.39932,B
triplet103,ZIHG,1.86825,2.29728,X
triplet62,VAEZ,0.0424,0.38163,A
triplet62,VOZ,0.91043,1.44921,B
triplet62,VOZ,1.94807,2.5068,X
triplet63,ZOEF,0.01247,0.36168,A
triplet63,ZUHF,0.99025,1.26961,B
triplet63,ZUHF,1.83832,2.13764,X
triplet87,VYZ,0.01247,0.62109,A
triplet87,VAHZ,1.14989,1.64875,B
triplet87,VAHZ,2.16757,2.54671,X
triplet86,VUHP,0.01247,0.38163,A
triplet86,VEP,0.93039,1.17982,B
triplet86,VEP,1.71859,1.96803,X
triplet15,ZOD,0.01247,0.53129,A
triplet15,ZAED,1.00023,1.44921,B
triplet15,ZAED,1.91814,2.31723,X
triplet14,ZUHD,0.01247,0.48141,A
triplet14,ZUD,0.92041,1.39932,B
triplet14,ZUD,1.9381,2.32721,X
triplet36,ZOES,0.01247,0.4415,A
triplet36,ZIHS,0.94036,1.37937,B
triplet36,ZOES,1.87823,2.26735,X
triplet37,VUHK,0.01247,0.25193,A
triplet37,VIK,0.72086,1.12993,B
triplet37,VUHK,1.7585,1.978,X
triplet41,VAEZ,0.0424,0.39161,A
triplet41,VOEZ,0.91043,1.3195,B
triplet41,VAEZ,1.81837,2.29728,X
triplet40,ZOV,0.01247,0.36168,A
triplet40,ZAEV,0.86054,1.21973,B
triplet40,ZOV,1.76848,2.24739,X
triplet75,SHEB,0.01247,0.45147,A
triplet75,SHUHB,1.09002,1.539,B
triplet75,SHUHB,2.04785,2.3771,X
triplet74,VAEB,0.01247,0.43152,A
triplet74,VUB,0.96032,1.44921,B
triplet74,VUB,1.90816,2.29728,X
triplet4,ZESH,0.01247,0.29184,A
triplet4,ZIHSH,0.89048,1.28957,B
triplet4,ZESH,1.8483,2.25737,X
triplet5,SIHG,0.01247,0.42154,A
triplet5,SUG,0.83061,1.24966,B
triplet5,SIHG,1.70862,2.20748,X
triplet90,VAEF,0.01247,0.38163,A
triplet90,VEF,0.95034,1.39932,B
triplet90,VEF,1.94807,2.20748,X
triplet91,ZYV,0.01247,0.50136,A
triplet91,ZAEV,1.0102,1.36939,B
triplet91,ZAEV,1.92812,2.30726,X
triplet31,ZOEV,0.01247,0.30181,A
triplet31,ZAHV,0.85057,1.16984,B
triplet31,ZAHV,1.72857,1.978,X
triplet30,ZAHD,0.01247,0.49138,A
triplet30,ZOED,0.99025,1.3195,B
triplet30,ZOED,1.978,2.32721,X
triplet78,SHIHB,0.01247,0.45147,A
triplet78,SHYB,0.93039,1.32948,B
triplet78,SHYB,1.79841,2.23741,X
triplet79,SHYV,0.01247,0.50136,A
triplet79,SHUHV,1.00023,1.38934,B
triplet79,SHUHV,1.95805,2.3771,X
triplet9,VUHB,0.01247,0.42154,A
triplet9,VYB,0.82063,1.25964,B
triplet9,VUHB,1.87823,2.24739,X
triplet8,VOEZ,0.01247,0.47143,A
triplet8,VUHZ,0.99025,1.54898,B
triplet8,VOEZ,1.978,2.47687,X
triplet46,ZAEF,0.01247,0.39161,A
triplet46,ZYF,0.86054,1.35941,B
triplet46,ZYF,1.82834,2.07778,X
triplet47,SAG,0.01247,0.58118,A
triplet47,SAHG,1.06009,1.55896,B
triplet47,SAHG,1.96803,2.40703,X
triplet72,SUF,0.11224,0.31179,A
triplet72,SUHF,0.93039,1.34943,B
triplet72,SUF,1.88821,2.30726,X
triplet73,VUHF,0.01247,0.3517,A
triplet73,VAF,0.91043,1.46916,B
triplet73,VUHF,1.96803,2.09773,X
triplet112,VOF,0.01247,0.30181,A
triplet112,VAHF,0.84059,1.13991,B
triplet112,VOF,1.67868,1.90816,X
triplet3,SHOES,0.01247,0.65102,A
triplet3,SHIHS,1.15986,1.67868,B
triplet3,SHIHS,2.17755,2.52676,X
triplet2,VAEB,0.01247,0.43152,A
triplet2,VAB,0.93076,1.26225,B
triplet2,VAB,1.76278,2.25737,X
triplet97,VAEP,0.01247,0.39161,A
triplet97,VOP,0.92041,1.27959,B
triplet97,VAEP,1.89819,2.25737,X
triplet96,VISH,0.01247,0.60113,A
triplet96,VAHSH,1.13991,1.56893,B
triplet96,VISH,2.12766,2.47687,X
triplet26,ZIHB,0.01247,0.58118,A
triplet26,ZUB,1.03016,1.51905,B
triplet26,ZUB,2.09773,2.40703,X
triplet27,VEG,0.01247,0.46145,A
triplet27,VAHG,1.0102,1.37937,B
triplet27,VAHG,1.83832,2.19751,X
triplet51,ZUF,0.01247,0.3517,A
triplet51,ZAEF,0.90045,1.25964,B
triplet51,ZAEF,1.73855,2.22744,X
triplet50,ZAHS,0.01247,0.47143,A
triplet50,ZAS,0.95034,1.27959,B
triplet50,ZAS,1.94807,2.38707,X
triplet18,ZIHF,0.01247,0.38163,A
triplet18,ZAF,0.97029,1.4093,B
triplet18,ZAF,1.99796,2.23741,X
triplet19,ZAV,0.01247,0.33175,A
triplet19,ZUHV,0.93039,1.15986,B
triplet19,ZUHV,1.71859,2.0678,X
triplet105,ZIHD,0.01247,0.52132,A
triplet105,ZOD,0.97029,1.3195,B
triplet105,ZIHD,1.95805,2.21746,X
triplet104,ZUV,0.01247,0.50136,A
triplet104,ZIHV,1.11995,1.42925,B
triplet104,ZUV,1.96803,2.18753,X
triplet65,ZAEF,0.01247,0.39161,A
triplet65,ZEF,0.95034,1.28957,B
triplet65,ZAEF,1.79841,2.19751,X
triplet64,VAB,0.01247,0.39161,A
triplet64,VIHB,0.83061,1.16984,B
triplet64,VAB,1.6288,2.02789,X
triplet12,SHOEV,0.01247,0.50136,A
triplet12,SHAEV,0.98027,1.35941,B
triplet12,SHOEV,1.89819,2.22744,X
triplet13,SHAHB,0.01247,0.38163,A
triplet13,SHIB,0.93039,1.37937,B
triplet13,SHAHB,1.85828,2.20748,X
triplet80,ZED,0.01247,0.36168,A
triplet80,ZUHD,0.83061,1.14989,B
triplet80,ZED,1.69864,1.95805,X
triplet81,VIHB,0.01247,0.51134,A
triplet81,VEB,0.98027,1.37937,B
triplet81,VIHB,1.98798,2.43696,X
